run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
78,2104,baseline,static,16883.0,30750.0,0.6055555555555555,0.6833333333333333,0.6648648648648648,220.0,0,14,27060.0,3690.0,13867.0
79,2105,baseline,static,14891.0,27750.0,0.5166666666666667,0.6166666666666667,0.6,220.0,0,18,24420.0,3330.0,12859.0
80,2106,baseline,static,12078.0,25000.0,0.5222222222222223,0.5555555555555556,0.5405405405405406,220.0,0,6,22000.0,3000.0,12922.0
81,2107,baseline,static,12143.0,24750.0,0.49444444444444446,0.55,0.5351351351351351,220.0,0,10,21780.0,2970.0,12607.0
82,2108,baseline,static,13389.0,26500.0,0.5388888888888889,0.5888888888888889,0.572972972972973,220.0,0,9,23320.0,3180.0,13111.0
83,2109,baseline,static,12767.0,25500.0,0.5055555555555555,0.5666666666666667,0.5513513513513514,220.0,0,11,22440.0,3060.0,12733.0
84,2110,baseline,static,14200.0,27500.0,0.5555555555555556,0.6111111111111112,0.5945945945945946,220.0,0,10,24200.0,3300.0,13300.0
85,2111,baseline,static,11643.0,24250.0,0.49444444444444446,0.5388888888888889,0.5243243243243243,220.0,0,8,21340.0,2910.0,12607.0
86,2112,baseline,static,14639.0,27750.0,0.5388888888888889,0.6166666666666667,0.6,220.0,0,14,24420.0,3330.0,13111.0
87,2113,baseline,static,14513.0,27750.0,0.55,0.6166666666666667,0.6,220.0,0,12,24420.0,3330.0,13237.0
88,2114,baseline,static,14698.0,28250.0,0.5777777777777777,0.6277777777777778,0.6108108108108108,220.0,0,9,24860.0,3390.0,13552.0
89,2115,baseline,static,18005.0,32250.0,0.6388888888888888,0.7166666666666667,0.6972972972972973,220.0,0,14,28380.0,3870.0,14245.0
90,2116,baseline,static,12637.0,26000.0,0.5611111111111111,0.5777777777777777,0.5621621621621622,220.0,0,3,22880.0,3120.0,13363.0
91,2117,baseline,static,16007.0,30000.0,0.6166666666666667,0.6666666666666666,0.6486486486486487,220.0,0,9,26400.0,3600.0,13993.0
92,2118,baseline,static,14761.0,28250.0,0.5722222222222222,0.6277777777777778,0.6108108108108108,220.0,0,10,24860.0,3390.0,13489.0
